policy,kind,seed_label,scenario_seed,reward,waiting_mean,queue_mean,phase_switches,steps
tiempo_fijo,fixed,deterministic,3002,-364.20000000000005,4.966666666666667,1.35,22,60
tiempo_fijo,fixed,deterministic,3003,-369.20000000000005,4.983333333333333,1.3833333333333333,22,60
tiempo_fijo,fixed,deterministic,3004,-421.20000000000005,5.683333333333334,1.5166666666666666,22,60
tiempo_fijo,fixed,deterministic,3005,-592.2,8.0,2.05,22,60
tiempo_fijo,fixed,deterministic,3006,-397.20000000000005,5.266666666666667,1.4666666666666666,22,60
tiempo_fijo,fixed,deterministic,3007,-427.2000000000001,5.8,1.5,22,60
tiempo_fijo,fixed,deterministic,3008,-372.20000000000005,5.066666666666666,1.3166666666666667,22,60
tiempo_fijo,fixed,deterministic,3009,-343.20000000000005,4.733333333333333,1.2666666666666666,22,60
tiempo_fijo,fixed,deterministic,3010,-362.20000000000005,4.933333333333334,1.3833333333333333,22,60
tiempo_fijo,fixed,deterministic,3011,-404.20000000000005,5.533333333333333,1.4166666666666667,22,60
tiempo_fijo,fixed,deterministic,3012,-369.20000000000005,4.966666666666667,1.35,22,60
tiempo_fijo,fixed,deterministic,3013,-374.20000000000005,5.066666666666666,1.3666666666666667,22,60
tiempo_fijo,fixed,deterministic,3014,-416.20000000000005,5.633333333333334,1.4666666666666666,22,60
tiempo_fijo,fixed,deterministic,5000,-402.20000000000005,5.4,1.4833333333333334,22,60
tiempo_fijo,fixed,deterministic,5001,-425.20000000000005,5.75,1.5,22,60
tiempo_fijo,fixed,deterministic,5002,-393.20000000000005,5.316666666666666,1.45,22,60
tiempo_fijo,fixed,deterministic,5003,-446.20000000000005,6.166666666666667,1.5333333333333334,22,60
tiempo_fijo,fixed,deterministic,5004,-413.20000000000005,5.65,1.4666666666666666,22,60
tiempo_fijo,fixed,deterministic,5005,-537.2,7.2,1.8833333333333333,22,60
tiempo_fijo,fixed,deterministic,5006,-362.20000000000005,4.95,1.3,22,60
tiempo_fijo,fixed,deterministic,5007,-458.20000000000005,6.166666666666667,1.6333333333333333,22,60
tiempo_fijo,fixed,deterministic,5008,-423.2000000000001,5.816666666666666,1.4833333333333334,22,60
tiempo_fijo,fixed,deterministic,5009,-456.20000000000005,6.283333333333333,1.5666666666666667,22,60
tiempo_fijo,fixed,deterministic,5010,-397.20000000000005,5.35,1.4666666666666666,22,60
tiempo_fijo,fixed,deterministic,5011,-458.2000000000001,6.25,1.6333333333333333,22,60
tiempo_fijo,fixed,deterministic,5012,-387.20000000000005,5.166666666666667,1.4166666666666667,22,60
tiempo_fijo,fixed,deterministic,5013,-426.20000000000005,5.75,1.5333333333333334,22,60
tiempo_fijo,fixed,deterministic,5014,-396.20000000000005,5.35,1.4666666666666666,22,60
