policy,kind,seed_label,scenario_seed,reward,waiting_mean,queue_mean,phase_switches,steps
tiempo_fijo,fixed,deterministic,7012,-426.20000000000005,5.8,1.5166666666666666,22,60
tiempo_fijo,fixed,deterministic,7013,-325.20000000000005,4.4,1.2666666666666666,22,60
tiempo_fijo,fixed,deterministic,7014,-359.20000000000005,4.9,1.2833333333333334,22,60
tiempo_fijo,fixed,deterministic,7015,-339.20000000000005,4.633333333333334,1.25,22,60
tiempo_fijo,fixed,deterministic,7016,-418.20000000000005,5.683333333333334,1.5,22,60
tiempo_fijo,fixed,deterministic,7017,-390.20000000000005,5.3,1.4666666666666666,22,60
tiempo_fijo,fixed,deterministic,7018,-404.2000000000001,5.5,1.4333333333333333,22,60
tiempo_fijo,fixed,deterministic,7019,-368.20000000000005,4.95,1.3666666666666667,22,60
tiempo_fijo,fixed,deterministic,7020,-443.20000000000005,6.033333333333333,1.5,22,60
tiempo_fijo,fixed,deterministic,7021,-411.20000000000005,5.583333333333333,1.4833333333333334,22,60
tiempo_fijo,fixed,deterministic,7022,-470.2000000000001,6.466666666666667,1.6,22,60
tiempo_fijo,fixed,deterministic,7023,-375.20000000000005,5.05,1.3166666666666667,22,60
tiempo_fijo,fixed,deterministic,7024,-438.2000000000001,6.033333333333333,1.5666666666666667,22,60
tiempo_fijo,fixed,deterministic,7025,-385.2000000000001,5.216666666666667,1.35,22,60
tiempo_fijo,fixed,deterministic,7026,-363.20000000000005,4.866666666666666,1.4,22,60
tiempo_fijo,fixed,deterministic,7027,-342.20000000000005,4.583333333333333,1.25,22,60
tiempo_fijo,fixed,deterministic,7028,-374.20000000000005,5.016666666666667,1.3833333333333333,22,60
tiempo_fijo,fixed,deterministic,7029,-405.20000000000005,5.616666666666666,1.3833333333333333,22,60
